;11-501;11-502;11-503;11-504;11-505;11-506;11-507;11-511;11-512; 11-541;11-521;11-522;11-531;11-400 ;11-401;11-402;11-403;11-404;11-405;11-406;11-407;11-408;11-409;11-411 ;11-412 ;11-413а ;11-301;11-302;11-303;11-304;11-305;11-306;11-307;11-308;11-311 ;11-312 ;11-314а;11-200;11-201;11-202;11-203;11-204;11-205;11-206;11-207;11-208;11-209;11-210 ;11.1-521;11.1-522;11.1-531;11.1-541;11.1-551;11.1-552;11.1-561;11.1-571
;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                     ;Профессиональный иностранный язык (английский), Гурьянова К.А., гр.№4, ауд. 1412 ;;;;;;Профессиональный иностранный язык (английский) 

08.30-10.00;;;;;;Дискретная математика 


;Информатика и программирование,



;;;;;Основы разработки информационных систем,


;;;;Основы разработки информационных систем,


Основы разработки информационных систем,


Основы разработки информационных систем,


Основы разработки информационных систем,


;;;;Управление качеством разработки ПО, Николаева Е.О.

;;;Инновационная экономика и технологическое предпринимательство,


Инновационная экономика и технологическое предпринимательство,



Информационная безопасность,

;;;;;;;;;Основы информационного поиска, 




;;;;;Дисциплина по выбору: Основы управления проектами Чегодаев В.Г.в ауд.1307 
10.10-11.40;;;;;Дискретная математика 


;;Информатика и программирование,



Информатика и программирование,



;;Алгоритмы и структуры данных в программировании,


Алгоритмы и структуры данных в программировании,





Основы разработки информационных систем,


Основы разработки информационных систем,


;Теория вероятностей и математическая статистика,

;Основы разработки информационных систем,


Основы разработки информационных систем,


